SITEVISITID,ISLAND,SITE,REEF_ZONE,LATITUDE,LONGITUDE,DEPTH,DEPTH_BIN,DATE_,OBS_YEAR,ANALYSIS_YEAR
8790,Jarvis,JAR-00454,Forereef,-0.37440159,-160.0127911,7.7,Mid,4/13/2015,2015,2015
8788,Jarvis,JAR-00458,Forereef,-0.38178261,-159.9944623,8.6,Mid,4/13/2015,2015,2015
8729,Jarvis,JAR-00459,Forereef,-0.37565175,-159.9733869,7.3,Mid,10/4/15,2015,2015
8725,Jarvis,JAR-00467,Forereef,-0.37844737,-159.9784198,6.85,Mid,10/4/15,2015,2015
8746,Jarvis,JAR-00470,Forereef,-0.36716759,-159.9815376,8.7,Mid,11/4/15,2015,2015
8689,Jarvis,JAR-00472,Forereef,-0.37521187,-160.0133422,11.05,Mid,8/4/15,2015,2015
8705,Jarvis,JAR-00474,Forereef,-0.38160291,-160.0072756,11.8,Mid,9/4/15,2015,2015
8685,Jarvis,JAR-00477,Forereef,-0.36929442,-160.008344,12.25,Mid,8/4/15,2015,2015
8686,Jarvis,JAR-00478,Forereef,-0.3652224,-160.0061019,12.35,Mid,8/4/15,2015,2015
8707,Jarvis,JAR-00479,Forereef,-0.37346089,-159.9736622,10.35,Mid,9/4/15,2015,2015
8773,Jarvis,JAR-00480,Forereef,-0.36348752,-159.9909661,9.25,Mid,12/4/15,2015,2015
8748,Jarvis,JAR-00481,Forereef,-0.38153107,-159.9733019,11.05,Mid,11/4/15,2015,2015
8708,Jarvis,JAR-00482,Forereef,-0.37937986,-159.9749601,10.15,Mid,9/4/15,2015,2015
8702,Jarvis,JAR-00487,Forereef,-0.38207925,-159.9836678,7.8,Mid,9/4/15,2015,2015
8721,Jarvis,JAR-00488,Forereef,-0.37300902,-159.9809348,7.45,Mid,10/4/15,2015,2015
8723,Jarvis,JAR-00490,Forereef,-0.37633035,-159.9762924,8.8,Mid,10/4/15,2015,2015
8769,Jarvis,JAR-00492,Forereef,-0.37081355,-160.0099869,11.95,Mid,12/4/15,2015,2015
8775,Jarvis,JAR-00494,Forereef,-0.36256953,-159.9928925,12.15,Mid,12/4/15,2015,2015
8752,Jarvis,JAR-00496,Forereef,-0.36377979,-159.9886204,10.65,Mid,11/4/15,2015,2015
