date,SITEVISITID,SITE,ISLAND,sst,summer_mean,winter_mean,summer_sd,winter_sd,hot_snap,cold_snap,accumulated_hot_snap,accumulated_cold_snap,accumulated_hot_snap_week,accumulated_cold_snap_week
2012-06-05,4880,JAR-00266,Jarvis,27.489333152770996,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0,-13.877145680525611
2012-06-06,NA,NA,NA,27.627000045776366,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0,-13.877145680525611
2012-06-07,NA,NA,NA,27.676000022888182,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0,-13.877145680525611
2012-06-08,NA,NA,NA,27.628333409627277,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0,-13.877145680525611
2012-06-09,NA,NA,NA,27.543000157674154,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0,-13.877145680525611
2012-06-10,NA,NA,NA,27.702333450317383,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0,-13.877145680525611
2012-06-11,NA,NA,NA,28.07733325958252,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0,-13.877145680525611
2012-06-12,NA,NA,NA,27.9589999516805,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0,-13.877145680525611
2012-06-13,NA,NA,NA,27.82699998219808,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0,-13.877145680525611
2012-06-14,NA,NA,NA,27.525666681925454,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0,-13.877145680525611
2012-06-15,NA,NA,NA,27.601333363850912,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0,-13.877145680525611
2012-06-16,NA,NA,NA,27.697999890645345,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0,-13.877145680525611
2012-06-17,NA,NA,NA,27.874333318074545,27.63449343652948,26.7340369390983,0.9405594546044707,1.4106623936880531,0,0,0,-13.877145680525611,0.1888767146514623,-13.877145680525611
