date,SST,climatology,sd,SSTA,HSNAP,HSNAP_accumulation,unique_week_id,HSNAP_accumulation_per_week
1986-10-25,28.65499998728434,27.708169643054948,0.9007335900032085,0.9468303442293937,0.04609675422618409,6.8186124047970935,94,6.77910090117465
1986-10-26,28.290333302815757,27.708169643054948,0.9007335900032085,0.5821636597608091,0,6.8186124047970935,95,6.8186124047970935
1986-10-27,28.274333254496256,27.708169643054948,0.9007335900032085,0.5661636114413078,0,6.8186124047970935,95,6.8186124047970935
1986-10-28,28.233333396911622,27.708169643054948,0.9007335900032085,0.525163753856674,0,6.8186124047970935,95,6.8186124047970935
1986-10-29,28.557999992370604,27.708169643054948,0.9007335900032085,0.8498303493156563,0,6.8186124047970935,95,6.8186124047970935
1986-10-30,28.5866668065389,27.708169643054948,0.9007335900032085,0.8784971634839529,0,6.8186124047970935,95,6.8186124047970935
1986-10-31,28.203333218892414,27.708169643054948,0.9007335900032085,0.4951635758374664,0,6.8186124047970935,95,6.8186124047970935
1986-11-01,27.910666592915852,27.708169643054948,0.9007335900032085,0.2024969498609046,0,6.8186124047970935,95,6.8186124047970935
1986-11-02,27.67033316294352,27.708169643054948,0.9007335900032085,-0.037836480111426596,0,6.8186124047970935,96,6.8186124047970935
1986-11-03,27.547000122070312,27.708169643054948,0.9007335900032085,-0.161169520984636,0,6.8186124047970935,96,6.8186124047970935
1986-11-04,27.869666862487794,27.708169643054948,0.9007335900032085,0.1614972194328459,0,6.8186124047970935,96,6.8186124047970935
1986-11-05,28.220332908630372,27.708169643054948,0.9007335900032085,0.512163265575424,0,6.8186124047970935,96,6.8186124047970935
1986-11-06,28.436000315348306,27.708169643054948,0.9007335900032085,0.7278306722933578,0,6.8186124047970935,96,6.8186124047970935
1986-11-07,28.10266660054525,27.708169643054948,0.9007335900032085,0.39449695749030056,0,6.8186124047970935,96,6.8186124047970935
1986-11-08,27.72800006866455,27.708169643054948,0.9007335900032085,0.019830425609601576,0,6.8186124047970935,96,6.8186124047970935
1986-11-09,27.150999959309896,27.708169643054948,0.9007335900032085,-0.5571696837450517,0,6.8186124047970935,97,6.8186124047970935
1986-11-10,27.72333335876465,27.708169643054948,0.9007335900032085,0.015163715709700654,0,6.8186124047970935,97,6.8186124047970935
1986-11-11,27.91866658528646,27.708169643054948,0.9007335900032085,0.2104969422315115,0,6.8186124047970935,97,6.8186124047970935
1986-11-12,28.341666730244956,27.708169643054948,0.9007335900032085,0.6334970871900083,0,6.8186124047970935,97,6.8186124047970935
1986-11-13,27.961666615804038,27.708169643054948,0.9007335900032085,0.25349697274909033,0,6.8186124047970935,97,6.8186124047970935
1986-11-14,27.74466667175293,27.708169643054948,0.9007335900032085,0.036497028697983325,0,6.8186124047970935,97,6.8186124047970935
1986-11-15,28.100666554768882,27.708169643054948,0.9007335900032085,0.3924969117139341,0,6.8186124047970935,97,6.8186124047970935
1986-11-16,28.13200003306071,27.708169643054948,0.9007335900032085,0.4238303900057616,0,6.8186124047970935,98,6.8186124047970935
1986-11-17,28.141332880655924,27.708169643054948,0.9007335900032085,0.43316323760097575,0,6.8186124047970935,98,6.8186124047970935
1986-11-18,27.803999773661296,27.708169643054948,0.9007335900032085,0.09583013060634826,0,6.8186124047970935,98,6.8186124047970935
1986-11-19,28.05833339691162,27.708169643054948,0.9007335900032085,0.3501637538566733,0,6.8186124047970935,98,6.8186124047970935
1986-11-20,27.963666598002117,27.708169643054948,0.9007335900032085,0.2554969549471693,0,6.8186124047970935,98,6.8186124047970935
1986-11-21,28.318666458129883,27.708169643054948,0.9007335900032085,0.610496815074935,0,6.8186124047970935,98,6.8186124047970935
1986-11-22,28.348333422342936,27.708169643054948,0.9007335900032085,0.6401637792879882,0,6.8186124047970935,98,6.8186124047970935
1986-11-23,28.368333371480308,27.708169643054948,0.9007335900032085,0.6601637284253599,0,6.8186124047970935,99,6.944491086361069
